650,1273,195
651,1355,279
652,1435,397
653,1509,535
654,1576,695
655,1626,859
656,1676,1047
657,1711,1239
658,1731,1429
659,1735,1607
660,1733,1789
661,1717,1957
662,1676,2091
663,1632,2213
664,1573,2305
665,1507,2369
666,1434,2403
667,1358,2409
668,1272,2377
669,1193,2323
670,1109,2231
671,1029,2115
672,959,1977
673,895,1819
674,840,1643
675,800,1463
676,770,1275
677,749,1081
678,747,897
679,755,719
680,768,549
681,813,417
682,860,299
683,917,209
684,982,147
685,1054,115
686,1130,115
687,1213,151
688,1295,215
689,1379,313
690,1453,429
691,1525,573
692,1589,735
693,1638,905
694,1685,1097
695,1716,1287
696,1735,1479
697,1740,1661
698,1729,1833
699,1699,1983
700,1666,2125
701,1615,2237
702,1557,2323
703,1490,2381
704,1414,2407
705,1305,2369
706,1251,2367
707,1169,2299
708,1087,2203
709,1010,2079
710,938,1933
711,882,1775
712,829,1597
713,789,1411
714,760,1219
715,748,1031
716,745,845
717,761,675
718,782,515
719,825,383
720,873,271
721,932,187
722,998,133
723,1074,111
724,1144,111
725,1235,163
726,1319,237
727,1400,341
728,1474,465
729,1539,609
730,1603,779
731,1655,957
732,1696,1147
733,1723,1337
734,1739,1527
735,1735,1703
736,1721,1871
737,1695,2023
738,1654,2155
739,1603,2261
740,1539,2339
741,1471,2389
742,1393,2407
743,1307,2387
744,1225,2345
745,1144,2271
746,1066,2169
747,993,2041
748,925,1893
749,854,1711
750,817,1545
751,778,1355
752,756,1167
753,747,979
754,749,799
755,765,629
756,794,477
757,835,347
758,886,241
759,946,165
760,1017,119
761,1095,109
762,1171,123
763,1256,177
764,1339,257
765,1420,369
766,1489,497
767,1560,655
768,1614,819
769,1668,1005
770,1706,1197
771,1729,1387
772,1738,1571
773,1732,1745
774,1716,1913
775,1684,2059
776,1644,2187
777,1587,2283
778,1521,2353
779,1447,2391
780,1370,2403
781,1287,2379
782,1207,2329
783,1125,2247
784,1046,2135
785,974,2003
786,907,1847
787,847,1673
788,800,1489
789,774,1309
790,753,1115
791,747,931
792,753,751
793,775,589
794,800,435
795,848,315
796,904,221
797,967,151
798,1038,113
799,1116,109
800,1193,133
801,1277,193
802,1357,281
803,1438,397
804,1508,535
805,1577,695
806,1632,869
807,1678,1055
808,1710,1243
809,1733,1435
810,1734,1613
811,1731,1793
812,1711,1953
813,1674,2093
814,1627,2211
815,1571,2303
816,1502,2365
817,1431,2401
818,1350,2401
819,1265,2367
820,1184,2309
821,1105,2221
822,1027,2103
823,952,1959
824,890,1801
825,837,1627
826,796,1443
827,768,1257
828,752,1069
829,746,879
830,752,701
831,773,539
832,814,403
833,861,285
834,920,199
835,985,137
836,1060,109
837,1139,115
838,1215,145
839,1299,213
840,1380,309
841,1459,433
842,1529,577
843,1594,743
844,1644,915
845,1685,1099
846,1716,1291
847,1735,1483
848,1731,1657
849,1727,1837
850,1702,1991
851,1663,2125
852,1612,2235
853,1551,2319
854,1486,2379
855,1409,2401
856,1325,2391
857,1244,2353
858,1163,2287
859,1079,2185
860,1005,2065
861,936,1921
862,877,1757
863,825,1579
864,788,1395
865,760,1203
866,745,1011
867,747,831
868,760,659
869,786,501
870,824,367
871,877,261
872,935,177
873,1002,123
874,1077,103
875,1156,115
876,1240,161
877,1323,237
878,1403,339
879,1478,467
880,1546,617
881,1603,781
882,1656,963
883,1698,1153
884,1724,1343
885,1738,1531
886,1739,1713
887,1723,1879
888,1689,2023
889,1651,2157
890,1598,2261
891,1537,2339
892,1466,2387
893,1389,2403
894,1307,2385
895,1222,2337
896,1141,2263
897,1061,2157
898,988,2029
899,922,1879
900,862,1711
901,816,1531
902,778,1343
903,755,1153
904,744,963
905,751,785
906,766,615
907,797,465
908,838,337
909,889,233
910,952,159
911,1025,119
912,1099,105
913,1180,125
914,1265,181
915,1343,259
916,1422,367
917,1497,503
918,1562,657
919,1620,827
920,1669,1011
921,1707,1203
922,1728,1391
923,1738,1577
924,1730,1749
925,1705,1907
926,1683,2061
927,1638,2185
928,1585,2285
929,1519,2353
930,1447,2391
931,1368,2399
932,1284,2373
933,1201,2319
934,1120,2237
935,1043,2125
936,975,1997
937,906,1837
938,848,1663
939,804,1481
940,771,1291
941,751,1101
942,746,915
943,754,737
944,771,571
945,807,427
946,851,307
947,907,211
948,969,141
949,1043,107
950,1121,107
951,1202,135
952,1283,195
953,1365,285
954,1442,401
955,1518,545
956,1580,701
957,1638,877
958,1681,1061
959,1713,1251
960,1734,1441
961,1742,1627
962,1731,1799
963,1710,1959
964,1674,2097
965,1627,2215
966,1566,2303
967,1501,2365
968,1425,2395
969,1340,2389
970,1264,2365
971,1179,2299
972,1099,2209
973,1023,2093
974,951,1949
975,887,1789
976,837,1615
977,796,1433
