time unit: us, xk_re_o_v[15:0], xk_re_o_v[15], xk_re_o_v[14], xk_re_o_v[13], xk_re_o_v[12], xk_re_o_v[11], xk_re_o_v[10], xk_re_o_v[9], xk_re_o_v[8], xk_re_o_v[7], xk_re_o_v[6], xk_re_o_v[5], xk_re_o_v[4], xk_re_o_v[3], xk_re_o_v[2], xk_re_o_v[1], xk_re_o_v[0], xk_im_o_v[15:0], xk_im_o_v[15], xk_im_o_v[14], xk_im_o_v[13], xk_im_o_v[12], xk_im_o_v[11], xk_im_o_v[10], xk_im_o_v[9], xk_im_o_v[8], xk_im_o_v[7], xk_im_o_v[6], xk_im_o_v[5], xk_im_o_v[4], xk_im_o_v[3], xk_im_o_v[2], xk_im_o_v[1], xk_im_o_v[0], r_adc_data_v[11:0], r_adc_data_v[11], r_adc_data_v[10], r_adc_data_v[9], r_adc_data_v[8], r_adc_data_v[7], r_adc_data_v[6], r_adc_data_v[5], r_adc_data_v[4], r_adc_data_v[3], r_adc_data_v[2], r_adc_data_v[1], r_adc_data_v[0], r_adc_data_i[11:0], r_adc_data_i[11], r_adc_data_i[10], r_adc_data_i[9], r_adc_data_i[8], r_adc_data_i[7], r_adc_data_i[6], r_adc_data_i[5], r_adc_data_i[4], r_adc_data_i[3], r_adc_data_i[2], r_adc_data_i[1], r_adc_data_i[0],
0, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X,
38, 0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 465, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 89F, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1,
39, 0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 416, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 831, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1,
40, 0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3CB, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 7AB, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1,
41, 0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38C, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 713, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1,
42, 0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34E, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 661, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1,
43, 0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 323, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 5AF, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1,
44, 0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 300, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 4F1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1,
45, 0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2EB, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 431, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1,
46, 0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2E3, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 373, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1,
47, 0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2EA, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 2C1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1,
48, 0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 300, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 21D, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1,
49, 0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31F, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 189, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1,
50, 0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34A, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 10D, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1,
51, 0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 383, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0AD, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1,
52, 0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3C1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 067, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1,
53, 0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40B, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 043, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1,
54, 0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45A, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 041, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1,
