time unit: ns, adc_in_v[11:0], adc_in_v[11], adc_in_v[10], adc_in_v[9], adc_in_v[8], adc_in_v[7], adc_in_v[6], adc_in_v[5], adc_in_v[4], adc_in_v[3], adc_in_v[2], adc_in_v[1], adc_in_v[0], adc_in_i[11:0], adc_in_i[11], adc_in_i[10], adc_in_i[9], adc_in_i[8], adc_in_i[7], adc_in_i[6], adc_in_i[5], adc_in_i[4], adc_in_i[3], adc_in_i[2], adc_in_i[1], adc_in_i[0], r_adc_data_v[11:0], r_adc_data_v[11], r_adc_data_v[10], r_adc_data_v[9], r_adc_data_v[8], r_adc_data_v[7], r_adc_data_v[6], r_adc_data_v[5], r_adc_data_v[4], r_adc_data_v[3], r_adc_data_v[2], r_adc_data_v[1], r_adc_data_v[0], r_adc_data_i[11:0], r_adc_data_i[11], r_adc_data_i[10], r_adc_data_i[9], r_adc_data_i[8], r_adc_data_i[7], r_adc_data_i[6], r_adc_data_i[5], r_adc_data_i[4], r_adc_data_i[3], r_adc_data_i[2], r_adc_data_i[1], r_adc_data_i[0]
0, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X
39500,998,0,0,1,1,1,1,1,0,0,1,1,0,859,0,0,1,1,0,1,0,1,1,0,1,1,1044,0,1,0,0,0,0,0,1,0,1,0,0,854,0,0,1,1,0,1,0,1,0,1,1,0
40000,957,0,0,1,1,1,0,1,1,1,1,0,1,871,0,0,1,1,0,1,1,0,0,1,1,1,998,0,0,1,1,1,1,1,0,0,1,1,0,859,0,0,1,1,0,1,0,1,1,0,1,1
40500,926,0,0,1,1,1,0,0,1,1,1,1,0,893,0,0,1,1,0,1,1,1,1,1,0,1,957,0,0,1,1,1,0,1,1,1,1,0,1,871,0,0,1,1,0,1,1,0,0,1,1,1
41000,902,0,0,1,1,1,0,0,0,0,1,1,0,920,0,0,1,1,1,0,0,1,1,0,0,0,926,0,0,1,1,1,0,0,1,1,1,1,0,893,0,0,1,1,0,1,1,1,1,1,0,1
41500,883,0,0,1,1,0,1,1,1,0,0,1,1,955,0,0,1,1,1,0,1,1,1,0,1,1,902,0,0,1,1,1,0,0,0,0,1,1,0,920,0,0,1,1,1,0,0,1,1,0,0,0
42000,874,0,0,1,1,0,1,1,0,1,0,1,0,997,0,0,1,1,1,1,1,0,0,1,0,1,883,0,0,1,1,0,1,1,1,0,0,1,1,955,0,0,1,1,1,0,1,1,1,0,1,1
42500,873,0,0,1,1,0,1,1,0,1,0,0,1,1045,0,1,0,0,0,0,0,1,0,1,0,1,874,0,0,1,1,0,1,1,0,1,0,1,0,997,0,0,1,1,1,1,1,0,0,1,0,1
43000,881,0,0,1,1,0,1,1,1,0,0,0,1,1097,0,1,0,0,0,1,0,0,1,0,0,1,873,0,0,1,1,0,1,1,0,1,0,0,1,1045,0,1,0,0,0,0,0,1,0,1,0,1
43500,897,0,0,1,1,1,0,0,0,0,0,0,1,1150,0,1,0,0,0,1,1,1,1,1,1,0,881,0,0,1,1,0,1,1,1,0,0,0,1,1097,0,1,0,0,0,1,0,0,1,0,0,1
44000,922,0,0,1,1,1,0,0,1,1,0,1,0,1207,0,1,0,0,1,0,1,1,0,1,1,1,897,0,0,1,1,1,0,0,0,0,0,0,1,1150,0,1,0,0,0,1,1,1,1,1,1,0
44500,955,0,0,1,1,1,0,1,1,1,0,1,1,1263,0,1,0,0,1,1,1,0,1,1,1,1,922,0,0,1,1,1,0,0,1,1,0,1,0,1207,0,1,0,0,1,0,1,1,0,1,1,1
45000,994,0,0,1,1,1,1,1,0,0,0,1,0,1320,0,1,0,1,0,0,1,0,1,0,0,0,955,0,0,1,1,1,0,1,1,1,0,1,1,1263,0,1,0,0,1,1,1,0,1,1,1,1
45500,1039,0,1,0,0,0,0,0,0,1,1,1,1,1370,0,1,0,1,0,1,0,1,1,0,1,0,994,0,0,1,1,1,1,1,0,0,0,1,0,1320,0,1,0,1,0,0,1,0,1,0,0,0
46000,1088,0,1,0,0,0,1,0,0,0,0,0,0,1420,0,1,0,1,1,0,0,0,1,1,0,0,1039,0,1,0,0,0,0,0,0,1,1,1,1,1370,0,1,0,1,0,1,0,1,1,0,1,0
46500,1140,0,1,0,0,0,1,1,1,0,1,0,0,1463,0,1,0,1,1,0,1,1,0,1,1,1,1088,0,1,0,0,0,1,0,0,0,0,0,0,1420,0,1,0,1,1,0,0,0,1,1,0,0
47000,1197,0,1,0,0,1,0,1,0,1,1,0,1,1499,0,1,0,1,1,1,0,1,1,0,1,1,1140,0,1,0,0,0,1,1,1,0,1,0,0,1463,0,1,0,1,1,0,1,1,0,1,1,1
47500,1253,0,1,0,0,1,1,1,0,0,1,0,1,1530,0,1,0,1,1,1,1,1,1,0,1,0,1197,0,1,0,0,1,0,1,0,1,1,0,1,1499,0,1,0,1,1,1,0,1,1,0,1,1
48000,1309,0,1,0,1,0,0,0,1,1,1,0,1,1552,0,1,1,0,0,0,0,1,0,0,0,0,1253,0,1,0,0,1,1,1,0,0,1,0,1,1530,0,1,0,1,1,1,1,1,1,0,1,0
