Groups:,,,,,,,,,,,,,,,,,,,,,,,,,,
adc_in_v[11:0] =, adc_in_v[11], adc_in_v[10], adc_in_v[9], adc_in_v[8], adc_in_v[7], adc_in_v[6], adc_in_v[5], adc_in_v[4], adc_in_v[3], adc_in_v[2], adc_in_v[1], adc_in_v[0], ,,,,,,,,,,,,,
adc_in_i[11:0] =, adc_in_i[11], adc_in_i[10], adc_in_i[9], adc_in_i[8], adc_in_i[7], adc_in_i[6], adc_in_i[5], adc_in_i[4], adc_in_i[3], adc_in_i[2], adc_in_i[1], adc_in_i[0], ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Data:,,,,,,,,,,,,,,,,,,,,,,,,,,
time unit: us, adc_in_v[11:0], adc_in_v[11], adc_in_v[10], adc_in_v[9], adc_in_v[8], adc_in_v[7], adc_in_v[6], adc_in_v[5], adc_in_v[4], adc_in_v[3], adc_in_v[2], adc_in_v[1], adc_in_v[0], adc_in_i[11:0], adc_in_i[11], adc_in_i[10], adc_in_i[9], adc_in_i[8], adc_in_i[7], adc_in_i[6], adc_in_i[5], adc_in_i[4], adc_in_i[3], adc_in_i[2], adc_in_i[1], adc_in_i[0]
0, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X
166,1452,0,1,0,1,1,0,1,0,1,1,0,0,1035,0,1,0,0,0,0,0,0,1,0,1,1
167,1459,0,1,0,1,1,0,1,1,0,0,1,1,1089,0,1,0,0,0,1,0,0,0,0,0,1
168,1455,0,1,0,1,1,0,1,0,1,1,1,1,1141,0,1,0,0,0,1,1,1,0,1,0,1
169,1443,0,1,0,1,1,0,1,0,0,0,1,1,1197,0,1,0,0,1,0,1,0,1,1,0,1
170,1426,0,1,0,1,1,0,0,1,0,0,1,0,1255,0,1,0,0,1,1,1,0,0,1,1,1
171,1408,0,1,0,1,1,0,0,0,0,0,0,0,1317,0,1,0,1,0,0,1,0,0,1,0,1
172,1382,0,1,0,1,0,1,1,0,0,1,1,0,1375,0,1,0,1,0,1,0,1,1,1,1,1
173,1353,0,1,0,1,0,1,0,0,1,0,0,1,1429,0,1,0,1,1,0,0,1,0,1,0,1
174,1318,0,1,0,1,0,0,1,0,0,1,1,0,1475,0,1,0,1,1,1,0,0,0,0,1,1
175,1280,0,1,0,1,0,0,0,0,0,0,0,0,1515,0,1,0,1,1,1,1,0,1,0,1,1
176,1246,0,1,0,0,1,1,0,1,1,1,1,0,1551,0,1,1,0,0,0,0,0,1,1,1,1
177,1207,0,1,0,0,1,0,1,1,0,1,1,1,1573,0,1,1,0,0,0,1,0,0,1,0,1
178,1168,0,1,0,0,1,0,0,1,0,0,0,0,1583,0,1,1,0,0,0,1,0,1,1,1,1
179,1137,0,1,0,0,0,1,1,1,0,0,0,1,1591,0,1,1,0,0,0,1,1,0,1,1,1
180,1108,0,1,0,0,0,1,0,1,0,1,0,0,1587,0,1,1,0,0,0,1,1,0,0,1,1
181,1079,0,1,0,0,0,0,1,1,0,1,1,1,1569,0,1,1,0,0,0,1,0,0,0,0,1
182,1054,0,1,0,0,0,0,0,1,1,1,1,0,1541,0,1,1,0,0,0,0,0,0,1,0,1
183,1039,0,1,0,0,0,0,0,0,1,1,1,1,1509,0,1,0,1,1,1,1,0,0,1,0,1
184,1030,0,1,0,0,0,0,0,0,0,1,1,0,1469,0,1,0,1,1,0,1,1,1,1,0,1
185,1024,0,1,0,0,0,0,0,0,0,0,0,0,1419,0,1,0,1,1,0,0,0,1,0,1,1
186,1024,0,1,0,0,0,0,0,0,0,0,0,0,1363,0,1,0,1,0,1,0,1,0,0,1,1
187,1036,0,1,0,0,0,0,0,0,1,1,0,0,1307,0,1,0,1,0,0,0,1,1,0,1,1
188,1047,0,1,0,0,0,0,0,1,0,1,1,1,1245,0,1,0,0,1,1,0,1,1,1,0,1
189,1068,0,1,0,0,0,0,1,0,1,1,0,0,1189,0,1,0,0,1,0,1,0,0,1,0,1
190,1092,0,1,0,0,0,1,0,0,0,1,0,0,1129,0,1,0,0,0,1,1,0,1,0,0,1
191,1122,0,1,0,0,0,1,1,0,0,0,1,0,1077,0,1,0,0,0,0,1,1,0,1,0,1
192,1152,0,1,0,0,1,0,0,0,0,0,0,0,1025,0,1,0,0,0,0,0,0,0,0,0,1
193,1188,0,1,0,0,1,0,1,0,0,1,0,0,983,0,0,1,1,1,1,0,1,0,1,1,1
194,1221,0,1,0,0,1,1,0,0,0,1,0,1,945,0,0,1,1,1,0,1,1,0,0,0,1
195,1263,0,1,0,0,1,1,1,0,1,1,1,1,923,0,0,1,1,1,0,0,1,1,0,1,1
196,1301,0,1,0,1,0,0,0,1,0,1,0,1,907,0,0,1,1,1,0,0,0,1,0,1,1
197,1334,0,1,0,1,0,0,1,1,0,1,1,0,901,0,0,1,1,1,0,0,0,0,1,0,1
198,1367,0,1,0,1,0,1,0,1,0,1,1,1,905,0,0,1,1,1,0,0,0,1,0,0,1
199,1393,0,1,0,1,0,1,1,1,0,0,0,1,917,0,0,1,1,1,0,0,1,0,1,0,1
200,1414,0,1,0,1,1,0,0,0,0,1,1,0,939,0,0,1,1,1,0,1,0,1,0,1,1
201,1436,0,1,0,1,1,0,0,1,1,1,0,0,977,0,0,1,1,1,1,0,1,0,0,0,1
202,1451,0,1,0,1,1,0,1,0,1,0,1,1,1019,0,0,1,1,1,1,1,1,1,0,1,1
203,1455,0,1,0,1,1,0,1,0,1,1,1,1,1067,0,1,0,0,0,0,1,0,1,0,1,1
