Groups:
r_adc_data_v[11:0] =, r_adc_data_v[11], r_adc_data_v[10], r_adc_data_v[9], r_adc_data_v[8], r_adc_data_v[7], r_adc_data_v[6], r_adc_data_v[5], r_adc_data_v[4], r_adc_data_v[3], r_adc_data_v[2], r_adc_data_v[1], r_adc_data_v[0], ,
r_adc_data_i[11:0] =, r_adc_data_i[11], r_adc_data_i[10], r_adc_data_i[9], r_adc_data_i[8], r_adc_data_i[7], r_adc_data_i[6], r_adc_data_i[5], r_adc_data_i[4], r_adc_data_i[3], r_adc_data_i[2], r_adc_data_i[1], r_adc_data_i[0], ,

Data:
time unit: us, r_adc_data_v[11:0], r_adc_data_v[11], r_adc_data_v[10], r_adc_data_v[9], r_adc_data_v[8], r_adc_data_v[7], r_adc_data_v[6], r_adc_data_v[5], r_adc_data_v[4], r_adc_data_v[3], r_adc_data_v[2], r_adc_data_v[1], r_adc_data_v[0], r_adc_data_i[11:0], r_adc_data_i[11], r_adc_data_i[10], r_adc_data_i[9], r_adc_data_i[8], r_adc_data_i[7], r_adc_data_i[6], r_adc_data_i[5], r_adc_data_i[4], r_adc_data_i[3], r_adc_data_i[2], r_adc_data_i[1], r_adc_data_i[0], v_square, i_square,
0, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X,
14044, 1334, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1433, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1,
14045, 1334, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1433, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1,
14046, 1334, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1433, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1,
14047, 1334, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1433, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1,
14048, 1334, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1433, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1,
14049, 1334, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1433, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1,
14050, 1334, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1433, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1,
14051, 1334, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1433, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1,
14052, 1334, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1433, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1,
14053, 1334, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1433, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1,
14054, 1334, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1433, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1,
